"UM_CODE";"UM_NAMEF";"UM_NAMES";"UM_TRANS";"UM_TYPE";"UM_TM";"UM_TE";"UM_KLADR";"global_id";
"019810";"улица Паперника";"ул. Паперника";"ulicza Papernika";"001";"";"0513";"77000000000001800";"58482208";
"019820";"Парковая улица";"Парковая ул.";"Parkovaya ulicza";"001";"";"0811";"77000000000222300";"58482209";
"019822";"Парковая улица";"Парковая ул.";"Parkovaya ulicza";"001";"";"0902";"77000000000743200";"58482210";
"019830";"1-я Парковая улица";"1-я Парковая ул.";"Pervaya Parkovaya ulicza";"001";"";"0408";"77000000000220700";"58482211";
"019840";"2-я Парковая улица";"2-я Парковая ул.";"Vtoraya Parkovaya ulicza";"001";"";"0408";"77000000000221500";"58482212";
"019850";"3-я Парковая улица";"3-я Парковая ул.";"Tret`ya Parkovaya ulicza";"001";"";"0408;0416";"77000000000221600";"58482213";
"019860";"4-я Парковая улица";"4-я Парковая ул.";"Chetvyortaya Parkovaya ulicza";"001";"";"0408";"77000000000221700";"58482214";
"019870";"5-я Парковая улица";"5-я Парковая ул.";"Pyataya Parkovaya ulicza";"001";"";"0408;0416";"77000000000221800";"58482215";
"019880";"6-я Парковая улица";"6-я Парковая ул.";"Shestaya Parkovaya ulicza";"001";"";"0408";"77000000000221900";"58482216";
"019890";"7-я Парковая улица";"7-я Парковая ул.";"Sed`maya Parkovaya ulicza";"001";"";"0408;0416";"77000000000222000";"58482217";
"019900";"8-я Парковая улица";"8-я Парковая ул.";"Vos`maya Parkovaya ulicza";"001";"";"0408";"77000000000222100";"58482218";
"019910";"9-я Парковая улица";"9-я Парковая ул.";"Devyataya Parkovaya ulicza";"001";"";"0405;0408;0416";"77000000000222200";"58482219";
"019920";"10-я Парковая улица";"10-я Парковая ул.";"Desyataya Parkovaya ulicza";"001";"";"0408";"77000000000220800";"58482220";
"019930";"11-я Парковая улица";"11-я Парковая ул.";"Odinnadczataya Parkovaya ulicza";"001";"";"0405;0408;0416";"77000000000220900";"58482221";
"019940";"12-я Парковая улица";"12-я Парковая ул.";"Dvenadczataya Parkovaya ulicza";"001";"";"0405";"77000000000221000";"58482222";
"019950";"13-я Парковая улица";"13-я Парковая ул.";"Trinadczataya Parkovaya ulicza";"001";"";"0405;0416";"77000000000221100";"58482223";
"019960";"14-я Парковая улица";"14-я Парковая ул.";"Chety'rnadczataya Parkovaya ulicza";"001";"";"0405";"77000000000221200";"58482224";
"019970";"15-я Парковая улица";"15-я Парковая ул.";"Pyatnadczataya Parkovaya ulicza";"001";"";"0405;0416";"77000000000221300";"58482225";
"019980";"16-я Парковая улица";"16-я Парковая ул.";"Shestnadczataya Parkovaya ulicza";"001";"";"0405;0416";"77000000000221400";"58482226";
"020000";"Паромная улица";"Паромная ул.";"Paromnaya ulicza";"001";"";"0608";"77000000000051500";"58482227";
"020020";"Партизанская улица";"Партизанская ул.";"Partizanskaya ulicza";"001";"";"0807";"77000000000222500";"58482228";
"020030";"Партийный переулок";"Партийный пер.";"Partijny'j pereulok";"002";"";"0609";"77000000000222600";"58482229";
"020040";"Парусный проезд";"Парусный пр.";"Parusny'j proezd";"003";"";"0908";"77000000000222700";"58482230";
"020060";"улица Паршина";"ул. Паршина";"ulicza Parshina";"001";"";"0906";"77000000000222800";"58482231";
"020070";"Пасечная улица";"Пасечная ул.";"Pasechnaya ulicza";"001";"";"0215";"77000000000222900";"58482232";
"020073";"улица Потылиха";"ул. Потылиха";"ulicza Poty'lixa";"001";"";"0805";"77000000000378600";"58482233";
"020075";"улица Паустовского";"ул. Паустовского";"ulicza Paustovskogo";"001";"";"0712";"77000000000223100";"58482234";
"020090";"Педагогическая улица";"Педагогическая ул.";"Pedagogicheskaya ulicza";"001";"";"0606";"77000000000051600";"58482235";
"020100";"Пекуновский тупик";"Пекуновский туп.";"Pekunovskij tupik";"007";"";"0510";"77000000000025500";"58482236";
"020105";"улица Мичуринский Проспект, Олимпийская Деревня";"ул. Мичуринский Проспект, Олимпийская Деревня";"ulicza Michurinskij Prospekt, Olimpijskaya Derevnya";"001";"";"0817";"77000000000710600";"58482237";
"020106";"1-й Пенягинский проезд";"1-й Пенягинский пр.";"Pervy'j Penyaginskij proezd";"003";"";"0902";"77000000000223500";"58482238";
"020107";"2-й Пенягинский проезд";"2-й Пенягинский пр.";"Vtoroj Penyaginskij proezd";"003";"";"0902";"77000000000223600";"58482239";
"020112";"Пенягинская улица";"Пенягинская ул.";"Penyaginskaya ulicza";"001";"";"0902";"77000000000427600";"58482240";
"020115";"улица 1 Мая";"ул. 1 Мая";"ulicza Pervogo Maya";"001";"";"1005";"77000002000223700";"58482241";
"020120";"аллея Первой Маёвки";"аллея Первой Маёвки";"alleya Pervoj Mayovki";"009";"";"0404";"77000000000291700";"58482242";
"020125";"Первомайская аллея";"Первомайская аллея";"Pervomajskaya alleya";"009";"";"0408";"77000000000706100";"58482243";
"020130";"Первомайская улица";"Первомайская ул.";"Pervomajskaya ulicza";"001";"";"0405;0408";"77000000000224200";"58482244";
"020140";"Первомайская улица";"Первомайская ул.";"Pervomajskaya ulicza";"001";"";"0813";"77000000033224300";"58482245";
"020147";"Первомайская улица";"Первомайская ул.";"Pervomajskaya ulicza";"001";"";"1005";"77000002000454600";"58482246";
"020150";"Верхняя Первомайская улица";"Верх. Первомайская ул.";"Verxnyaya Pervomajskaya ulicza";"001";"";"0405;0408";"77000000000223800";"58482247";
"020160";"Нижняя Первомайская улица";"Нижн. Первомайская ул.";"Nizhnyaya Pervomajskaya ulicza";"001";"";"0405;0408";"77000000000224000";"58482248";
"020170";"Средняя Первомайская улица";"Ср. Первомайская ул.";"Srednyaya Pervomajskaya ulicza";"001";"";"0405;0408";"77000000000224100";"58482249";
"020175";"Первомайский проезд";"Первомайский пр.";"Pervomajskij proezd";"003";"";"0405";"77000000000418900";"58482250";
"020180";"Новая Переведеновская улица";"Н. Переведеновская ул.";"Novaya Perevedenovskaya ulicza";"001";"";"0102;0104";"77000000000708400";"58482251";
"020190";"Переведеновский переулок";"Переведеновский пер.";"Perevedenovskij pereulok";"002";"";"0102";"77000000000224400";"58482252";
"020220";"Перекопская улица";"Перекопская ул.";"Perekopskaya ulicza";"001";"";"0703;0710";"77000000000224700";"58482253";
"020230";"улица Перерва";"ул. Перерва";"ulicza Pererva";"001";"";"0509;0508";"77000000000715200";"58482254";
"020231";"Перервинский бульвар";"Перервинский бульв.";"Perervinskij bul`var";"008";"";"0509";"77000000000434700";"58482255";
